"","NEIGHBORHOOD","SALE.DATE","SALE.PRICE","YearMonth"
"380","CHELSEA",2017-04-27,1215000,2017-04-01
"381","CHELSEA",2017-04-14,1340000,2017-04-01
"382","CHELSEA",2017-02-27,1310000,2017-02-01
"383","CHELSEA",2017-01-18,1515000,2017-01-01
"384","CHELSEA",2017-01-19,875000,2017-01-01
"385","CHELSEA",2017-08-09,900000.000000001,2017-08-01
"386","CHELSEA",2016-11-10,750000,2016-11-01
"387","CHELSEA",2016-12-07,495000,2016-12-01
"388","CHELSEA",2017-01-23,625000,2017-01-01
"389","CHELSEA",2017-02-13,855000,2017-02-01
"390","CHELSEA",2016-10-05,1519999,2016-10-01
"391","CHELSEA",2016-09-21,1830000,2016-09-01
"392","CHELSEA",2017-07-28,1570000,2017-07-01
"393","CHELSEA",2016-09-30,1015000,2016-09-01
"394","CHELSEA",2017-03-30,1497500,2017-03-01
"395","CHELSEA",2017-04-21,1615000,2017-04-01
"396","CHELSEA",2017-08-17,1775000,2017-08-01
"397","CHELSEA",2016-09-12,1675000,2016-09-01
"398","CHELSEA",2016-10-13,1680000,2016-10-01
"399","CHELSEA",2017-03-23,1730000,2017-03-01
"400","CHELSEA",2017-07-14,1155000,2017-07-01
"401","CHELSEA",2017-07-13,764999.999999999,2017-07-01
"402","CHELSEA",2017-03-30,640000,2017-03-01
"403","CHELSEA",2017-05-10,1508000,2017-05-01
"404","CHELSEA",2017-07-13,1725000,2017-07-01
"405","CHELSEA",2016-09-08,1275000,2016-09-01
"406","CHELSEA",2016-11-10,1037462,2016-11-01
"407","CHELSEA",2016-11-03,575000,2016-11-01
"408","CHELSEA",2016-11-15,589999.999999999,2016-11-01
"409","CHELSEA",2017-02-09,585000.000000001,2017-02-01
"410","CHELSEA",2016-12-30,712500,2016-12-01
"411","CHELSEA",2017-06-20,589999.999999999,2017-06-01
"412","CHELSEA",2017-07-11,1205000,2017-07-01
"413","CHELSEA",2017-07-11,980000.000000001,2017-07-01
"414","CHELSEA",2017-07-27,615000,2017-07-01
"415","CHELSEA",2016-10-20,1300000,2016-10-01
"416","CHELSEA",2017-01-04,595000,2017-01-01
"417","CHELSEA",2017-01-24,638000,2017-01-01
"418","CHELSEA",2017-02-07,550000,2017-02-01
"419","CHELSEA",2017-03-01,1200000,2017-03-01
"420","CHELSEA",2017-03-21,619999.999999999,2017-03-01
"421","CHELSEA",2017-03-27,1325000,2017-03-01
"422","CHELSEA",2017-07-20,643000,2017-07-01
"423","CHELSEA",2017-08-08,1100000,2017-08-01
"424","CHELSEA",2017-08-24,619999.999999999,2017-08-01
"425","CHELSEA",2016-09-16,545000,2016-09-01
"426","CHELSEA",2016-11-10,6e+05,2016-11-01
"427","CHELSEA",2016-11-23,580000,2016-11-01
"428","CHELSEA",2017-02-06,565000,2017-02-01
"429","CHELSEA",2017-02-08,525000,2017-02-01
"430","CHELSEA",2017-07-05,782071,2017-07-01
"431","CHELSEA",2017-06-15,599000,2017-06-01
"432","CHELSEA",2017-03-28,465000,2017-03-01
"433","CHELSEA",2017-05-10,900000.000000001,2017-05-01
"434","CHELSEA",2017-05-24,695000,2017-05-01
"435","CHELSEA",2017-05-11,967500,2017-05-01
"436","CHELSEA",2017-06-26,605000,2017-06-01
"437","CHELSEA",2017-08-01,775000,2017-08-01
"438","CHELSEA",2017-08-02,580000,2017-08-01
"439","CHELSEA",2016-12-22,900000.000000001,2016-12-01
"440","CHELSEA",2017-02-08,470000,2017-02-01
"441","CHELSEA",2017-02-13,5e+05,2017-02-01
"442","CHELSEA",2017-03-31,895000,2017-03-01
"443","CHELSEA",2017-06-07,460000,2017-06-01
"444","CHELSEA",2017-06-07,925000,2017-06-01
"445","CHELSEA",2017-07-06,1675000,2017-07-01
"446","CHELSEA",2017-07-24,4e+05,2017-07-01
"447","CHELSEA",2017-08-18,515000,2017-08-01
"448","CHELSEA",2016-09-20,576500,2016-09-01
"449","CHELSEA",2017-02-02,618000,2017-02-01
"450","CHELSEA",2017-02-14,595000,2017-02-01
"451","CHELSEA",2017-03-15,490000,2017-03-01
"452","CHELSEA",2017-03-27,575000,2017-03-01
"453","CHELSEA",2017-04-05,563250,2017-04-01
"454","CHELSEA",2017-05-10,483000,2017-05-01
"455","CHELSEA",2017-06-12,982500,2017-06-01
"456","CHELSEA",2017-08-03,1300000,2017-08-01
"457","CHELSEA",2016-10-27,735000,2016-10-01
"458","CHELSEA",2016-11-21,698000,2016-11-01
"459","CHELSEA",2017-04-06,7e+05,2017-04-01
"460","CHELSEA",2017-04-26,685000,2017-04-01
"461","CHELSEA",2017-04-19,699000,2017-04-01
"462","CHELSEA",2017-06-12,1220000,2017-06-01
"463","CHELSEA",2017-06-26,1160000,2017-06-01
"464","CHELSEA",2017-08-02,725000.000000001,2017-08-01
"465","CHELSEA",2016-09-12,619999.999999999,2016-09-01
"466","CHELSEA",2016-12-28,1200000,2016-12-01
"467","CHINATOWN",2017-04-18,1800000,2017-04-01
"468","CHINATOWN",2017-05-18,1547500,2017-05-01
"469","CHINATOWN",2017-06-27,998999.999999999,2017-06-01
"470","CHINATOWN",2016-09-08,1440000,2016-09-01
"471","CHINATOWN",2017-07-24,715000.000000001,2017-07-01
"472","CHINATOWN",2016-12-05,830000,2016-12-01
"473","CHINATOWN",2017-05-18,8e+05,2017-05-01
"474","CHINATOWN",2016-10-20,1270000,2016-10-01
"475","CHINATOWN",2016-11-10,1224000,2016-11-01
"476","CHINATOWN",2016-11-30,1695000,2016-11-01
"477","CHINATOWN",2017-02-21,735000,2017-02-01
"478","CHINATOWN",2017-04-05,522500,2017-04-01
"479","CHINATOWN",2017-05-30,925000,2017-05-01
"480","CHINATOWN",2017-05-01,1330000,2017-05-01
"481","CHINATOWN",2017-01-30,207870,2017-01-01
"482","CHINATOWN",2016-12-16,1250000,2016-12-01
"483","CHINATOWN",2016-11-08,150000,2016-11-01
